,City
0,Athens
3,Athens
6,Athens
9,Athens
13,Athens
15,Athens
18,Athens
21,Athens
24,Athens
27,Athens
29,Athens
33,Athens
36,Athens
40,Athens
43,Athens
46,Athens
49,Athens
51,Athens
54,Athens
56,Athens
59,Athens
62,Athens
65,Athens
67,Athens
70,Athens
72,Athens
74,Athens
76,Athens
79,Athens
82,Athens
84,Athens
85,Athens
86,Athens
87,Athens
88,Athens
89,Athens
90,Athens
91,Athens
92,Athens
93,Athens
94,Athens
99,Athens
100,Athens
101,Athens
102,Athens
103,Athens
104,Athens
105,Athens
106,Athens
107,Athens
108,Athens
109,Athens
115,Athens
118,Athens
121,Athens
124,Athens
127,Athens
130,Athens
134,Athens
135,Athens
140,Athens
143,Athens
146,Athens
149,Athens
152,Paris
155,Paris
158,Paris
161,Paris
168,Paris
169,Paris
170,Paris
171,Paris
172,Paris
179,Paris
182,Paris
198,Paris
199,Paris
200,Paris
201,Paris
202,Paris
203,Paris
204,Paris
213,Paris
216,Paris
219,Paris
222,Paris
224,Paris
228,Paris
231,Paris
234,Paris
237,Paris
240,Paris
243,Paris
246,Paris
249,Paris
252,Paris
255,Paris
257,Paris
258,Paris
259,Paris
260,Paris
261,Paris
268,Paris
271,Paris
274,Paris
277,Paris
280,Paris
283,Paris
286,Paris
289,Paris
292,Paris
295,Paris
298,Paris
301,Paris
304,Paris
306,Paris
307,Paris
310,Paris
311,Paris
312,Paris
313,Paris
314,Paris
315,Paris
316,Paris
317,Paris
318,Paris
319,Paris
320,Paris
321,Paris
334,Paris
335,Paris
337,Paris
340,Paris
343,Paris
346,Paris
349,Paris
350,Paris
352,Paris
355,Paris
358,Paris
361,Paris
364,Paris
367,Paris
370,Paris
373,Paris
376,Paris
389,Paris
390,Paris
391,Paris
392,Paris
393,Paris
394,Paris
395,Paris
396,Paris
397,Paris
398,Paris
399,Paris
414,Paris
417,Paris
420,Paris
426,Paris
427,Paris
428,Paris
429,Paris
443,Paris
444,Paris
445,Paris
446,Paris
447,Paris
448,Paris
449,Paris
450,Paris
451,Paris
471,Paris
472,Paris
473,Paris
474,Paris
475,Paris
476,Paris
477,Paris
478,Paris
479,Paris
480,Paris
493,Paris
494,Paris
495,Paris
500,Paris
502,Paris
503,Paris
504,Paris
505,Paris
506,Paris
507,Paris
508,Paris
509,Paris
510,Paris
511,Paris
512,Paris
513,Paris
514,Paris
515,Paris
516,Paris
517,Paris
518,Paris
551,Paris
552,Paris
553,Paris
560,Paris
561,Paris
564,Paris
568,Paris
569,Paris
570,Paris
576,Paris
583,Paris
584,Paris
585,Paris
586,Paris
587,Paris
594,Paris
598,Paris
600,Paris
604,Paris
607,Paris
614,Paris
615,Paris
616,Paris
617,Paris
618,Paris
625,Paris
631,Paris
632,Paris
637,Paris
641,Paris
645,Paris
649,Paris
651,Paris
652,Paris
653,Paris
654,Paris
655,Paris
656,Paris
665,St Louis
668,St Louis
671,St Louis
674,St Louis
677,St Louis
680,St Louis
683,St Louis
686,St Louis
692,St Louis
693,St Louis
694,St Louis
695,St Louis
701,St Louis
704,St Louis
707,St Louis
710,St Louis
713,St Louis
716,St Louis
722,St Louis
723,St Louis
724,St Louis
725,St Louis
730,St Louis
731,St Louis
732,St Louis
733,St Louis
737,St Louis
740,St Louis
743,St Louis
746,St Louis
749,St Louis
752,St Louis
755,St Louis
758,St Louis
760,St Louis
761,St Louis
762,St Louis
763,St Louis
764,St Louis
771,St Louis
774,St Louis
777,St Louis
780,St Louis
783,St Louis
786,St Louis
789,St Louis
792,St Louis
795,St Louis
798,St Louis
801,St Louis
804,St Louis
807,St Louis
810,St Louis
813,St Louis
816,St Louis
818,St Louis
821,St Louis
823,St Louis
826,St Louis
829,St Louis
833,St Louis
835,St Louis
838,St Louis
841,St Louis
844,St Louis
847,St Louis
850,St Louis
853,St Louis
856,St Louis
859,St Louis
862,St Louis
864,St Louis
865,St Louis
866,St Louis
871,St Louis
874,St Louis
888,St Louis
889,St Louis
890,St Louis
891,St Louis
892,St Louis
893,St Louis
894,St Louis
895,St Louis
896,St Louis
897,St Louis
898,St Louis
899,St Louis
900,St Louis
901,St Louis
902,St Louis
903,St Louis
904,St Louis
905,St Louis
906,St Louis
907,St Louis
908,St Louis
909,St Louis
910,St Louis
911,St Louis
912,St Louis
913,St Louis
914,St Louis
915,St Louis
916,St Louis
917,St Louis
918,St Louis
919,St Louis
920,St Louis
921,St Louis
935,St Louis
937,St Louis
938,St Louis
939,St Louis
940,St Louis
941,St Louis
942,St Louis
943,St Louis
944,St Louis
945,St Louis
946,St Louis
958,St Louis
961,St Louis
964,St Louis
967,St Louis
968,St Louis
970,St Louis
973,St Louis
976,St Louis
979,St Louis
982,St Louis
990,St Louis
991,St Louis
992,St Louis
993,St Louis
994,St Louis
995,St Louis
1003,St Louis
1004,St Louis
1005,St Louis
1006,St Louis
1007,St Louis
1008,St Louis
1009,St Louis
1010,St Louis
1011,St Louis
1012,St Louis
1013,St Louis
1014,St Louis
1015,St Louis
1016,St Louis
1017,St Louis
1032,St Louis
1036,St Louis
1037,St Louis
1042,St Louis
1043,St Louis
1046,St Louis
1047,St Louis
1048,St Louis
1049,St Louis
1050,St Louis
1051,St Louis
1052,St Louis
1053,St Louis
1054,St Louis
1068,St Louis
1069,St Louis
1070,St Louis
1071,St Louis
1077,St Louis
1083,St Louis
1084,St Louis
1089,St Louis
1096,St Louis
1097,St Louis
1098,St Louis
1099,St Louis
1100,St Louis
1107,St Louis
1110,St Louis
1113,St Louis
1116,St Louis
1119,St Louis
1122,St Louis
1125,St Louis
1128,St Louis
1131,St Louis
1134,London
1138,London
1141,London
1144,London
1147,London
1150,London
1153,London
1159,London
1160,London
1161,London
1162,London
1167,London
1168,London
1169,London
1170,London
1171,London
1172,London
1173,London
1182,London
1185,London
1188,London
1191,London
1194,London
1197,London
1200,London
1203,London
1206,London
1209,London
1214,London
1215,London
1216,London
1220,London
1222,London
1228,London
1229,London
1230,London
1231,London
1237,London
1240,London
1243,London
1246,London
1249,London
1251,London
1255,London
1259,London
1262,London
1265,London
1268,London
1271,London
1276,London
1277,London
1279,London
1282,London
1285,London
1288,London
1291,London
1294,London
1297,London
1300,London
1306,London
1307,London
1308,London
1309,London
1316,London
1317,London
1321,London
1324,London
1327,London
1330,London
1337,London
1338,London
1339,London
1340,London
1346,London
1352,London
1353,London
1354,London
1355,London
1371,London
1372,London
1373,London
1374,London
1375,London
1376,London
1377,London
1378,London
1379,London
1380,London
1381,London
1394,London
1421,London
1422,London
1423,London
1424,London
1425,London
1426,London
1427,London
1428,London
1429,London
1430,London
1431,London
1432,London
1433,London
1434,London
1435,London
1436,London
1437,London
1438,London
1439,London
1440,London
1441,London
1442,London
1443,London
1444,London
1445,London
1446,London
1447,London
1448,London
1449,London
1450,London
1451,London
1452,London
1453,London
1454,London
1455,London
1456,London
1457,London
1458,London
1459,London
1460,London
1461,London
1462,London
1463,London
1464,London
1465,London
1466,London
1467,London
1468,London
1469,London
1470,London
1471,London
1472,London
1473,London
1474,London
1475,London
1476,London
1477,London
1478,London
1479,London
1512,London
1513,London
1514,London
1515,London
1516,London
1517,London
1518,London
1519,London
1520,London
1521,London
1522,London
1535,London
1537,London
1538,London
1539,London
1540,London
1541,London
1542,London
1543,London
1544,London
1545,London
1546,London
1547,London
1548,London
1549,London
1550,London
1551,London
1570,London
1571,London
1572,London
1573,London
1584,London
1585,London
1590,London
1596,London
1597,London
1618,London
1619,London
1620,London
1621,London
1622,London
1623,London
1624,London
1625,London
1626,London
1636,London
1637,London
1638,London
1639,London
1646,London
1648,London
1649,London
1650,London
1651,London
1652,London
1653,London
1654,London
1655,London
1656,London
1657,London
1658,London
1659,London
1660,London
1661,London
1662,London
1678,London
1679,London
1680,London
1681,London
1682,London
1683,London
1684,London
1685,London
1686,London
1687,London
1701,London
1702,London
1703,London
1707,London
1708,London
1709,London
1710,London
1716,London
1717,London
1718,London
1719,London
1720,London
1727,London
1730,London
1733,London
1735,London
1736,London
1737,London
1738,London
1744,London
1747,London
1750,London
1756,London
1757,London
1758,London
1759,London
1765,London
1768,London
1774,London
1775,London
1776,London
1777,London
1788,London
1789,London
1790,London
1791,London
1792,London
1793,London
1806,London
1807,London
1808,London
1809,London
1810,London
1811,London
1824,London
1825,London
1826,London
1827,London
1828,London
1829,London
1837,London
1840,London
1843,London
1846,London
1849,London
1852,London
1856,London
1857,London
1862,London
1863,London
1867,London
1870,London
1873,London
1876,London
1887,London
1888,London
1889,London
1890,London
1891,London
1892,London
1893,London
1894,London
1895,London
1905,London
1906,London
1907,London
1908,London
1909,London
1911,London
1914,London
1917,London
1920,London
1923,London
1926,London
1929,London
1932,London
1935,London
1938,Stockholm
1941,Stockholm
1944,Stockholm
1947,Stockholm
1950,Stockholm
1953,Stockholm
1956,Stockholm
1959,Stockholm
1962,Stockholm
1965,Stockholm
1968,Stockholm
1974,Stockholm
1975,Stockholm
1976,Stockholm
1977,Stockholm
1986,Stockholm
1987,Stockholm
1988,Stockholm
1989,Stockholm
2001,Stockholm
2002,Stockholm
2003,Stockholm
2004,Stockholm
2005,Stockholm
2006,Stockholm
2007,Stockholm
2016,Stockholm
2019,Stockholm
2022,Stockholm
2025,Stockholm
2028,Stockholm
2031,Stockholm
2038,Stockholm
2039,Stockholm
2040,Stockholm
2041,Stockholm
2042,Stockholm
2049,Stockholm
2051,Stockholm
2052,Stockholm
2053,Stockholm
2054,Stockholm
2063,Stockholm
2064,Stockholm
2065,Stockholm
2066,Stockholm
2072,Stockholm
2075,Stockholm
2078,Stockholm
2083,Stockholm
2084,Stockholm
2085,Stockholm
2090,Stockholm
2091,Stockholm
2094,Stockholm
2097,Stockholm
2100,Stockholm
2103,Stockholm
2106,Stockholm
2109,Stockholm
2112,Stockholm
2115,Stockholm
2118,Stockholm
2121,Stockholm
2124,Stockholm
2125,Stockholm
2130,Stockholm
2134,Stockholm
2137,Stockholm
2140,Stockholm
2143,Stockholm
2149,Stockholm
2150,Stockholm
2151,Stockholm
2152,Stockholm
2158,Stockholm
2161,Stockholm
2167,Stockholm
2168,Stockholm
2169,Stockholm
2170,Stockholm
2176,Stockholm
2182,Stockholm
2183,Stockholm
2184,Stockholm
2185,Stockholm
2191,Stockholm
2198,Stockholm
2199,Stockholm
2200,Stockholm
2201,Stockholm
2202,Stockholm
2203,Stockholm
2204,Stockholm
2205,Stockholm
2215,Stockholm
2218,Stockholm
2226,Stockholm
2227,Stockholm
2228,Stockholm
2229,Stockholm
2230,Stockholm
2231,Stockholm
2232,Stockholm
2233,Stockholm
2252,Stockholm
2253,Stockholm
2254,Stockholm
2255,Stockholm
2256,Stockholm
2257,Stockholm
2258,Stockholm
2259,Stockholm
2260,Stockholm
2261,Stockholm
2262,Stockholm
2275,Stockholm
2301,Stockholm
2302,Stockholm
2303,Stockholm
2304,Stockholm
2305,Stockholm
2306,Stockholm
2307,Stockholm
2308,Stockholm
2309,Stockholm
2310,Stockholm
2311,Stockholm
2312,Stockholm
2313,Stockholm
2314,Stockholm
2315,Stockholm
2316,Stockholm
2354,Stockholm
2355,Stockholm
2356,Stockholm
2357,Stockholm
2358,Stockholm
2359,Stockholm
2360,Stockholm
2361,Stockholm
2362,Stockholm
2363,Stockholm
2364,Stockholm
2365,Stockholm
2366,Stockholm
2367,Stockholm
2368,Stockholm
2369,Stockholm
2370,Stockholm
2371,Stockholm
2372,Stockholm
2373,Stockholm
2374,Stockholm
2375,Stockholm
2376,Stockholm
2377,Stockholm
2378,Stockholm
2422,Stockholm
2423,Stockholm
2424,Stockholm
2425,Stockholm
2426,Stockholm
2427,Stockholm
2428,Stockholm
2429,Stockholm
2430,Stockholm
2431,Stockholm
2432,Stockholm
2433,Stockholm
2434,Stockholm
2435,Stockholm
2436,Stockholm
2437,Stockholm
2438,Stockholm
2439,Stockholm
2440,Stockholm
2441,Stockholm
2442,Stockholm
2443,Stockholm
2444,Stockholm
2445,Stockholm
2475,Stockholm
2482,Stockholm
2483,Stockholm
2484,Stockholm
2485,Stockholm
2486,Stockholm
2501,Stockholm
2502,Stockholm
2503,Stockholm
2504,Stockholm
2505,Stockholm
2506,Stockholm
2507,Stockholm
2508,Stockholm
2509,Stockholm
2524,Stockholm
